atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100,condicao_mando,pontos_esperados
42411,Cuca,SAN,Técnico,7,10.17,-0.83,5.92,5,4.22,True,False,BAH,-0.172,neutro,5.537,5.92,0.625,36.9,desfavoravel,2.55
141594,Pedro Gabriel,GRE,Lateral,7,4.83,0.83,3.98,4,5.7,True,True,CFC,0.745,valor_bom,3.646,2.48,0.5,37.6,neutro,1.37
147192,Claudinho,CAP,Lateral,6,1.0,0.0,0.0,0,0.0,False,True,VIT,0.898,valor_bom,0.0,0.0,0.0,78.1,favoravel,0.0
102877,Gabriel Poveda,REM,Atacante,6,3.39,-0.62,0.35,4,-0.6,True,True,CRU,-1.13,armadilha_leve,0.58,0.35,0.5,69.5,neutro,0.4
143252,Gean,VIT,Lateral,6,1.0,0.0,0.0,0,0.0,False,False,CAP,0.898,valor_bom,0.0,0.0,0.0,31.0,desfavoravel,0.0
143153,Tarzia,VIT,Atacante,6,1.98,0.03,0.5,6,0.0,True,False,CAP,0.124,neutro,0.612,0.5,0.75,31.1,desfavoravel,0.29
107256,Zé Vitor,VIT,Meia,6,4.06,-0.35,2.12,4,0.9,True,False,CAP,0.072,neutro,1.971,2.12,0.5,30.6,desfavoravel,0.6
110605,Vinícius Balieiro,CHA,Meia,6,4.44,0.83,2.0,2,4.0,True,False,FLU,-0.225,neutro,1.917,2.0,0.25,24.2,desfavoravel,0.23
123005,Sidney,BAH,Meia,6,1.0,0.0,0.0,0,0.0,False,True,SAN,0.856,valor_bom,0.0,0.0,0.0,68.8,favoravel,0.0
147560,Caio Suassuna,BAH,Atacante,6,2.0,0.0,0.0,0,0.0,False,True,SAN,-0.544,armadilha_leve,0.0,0.0,0.0,68.8,neutro,0.0
127273,Artur Jorge,CRU,Técnico,7,13.05,0.34,7.21,4,8.58,True,False,REM,0.34,neutro,6.681,7.21,0.5,60.9,neutro,4.07
149715,Rafael Gonzaga,SAN,Lateral,6,2.79,0.79,2.4,1,2.4,True,False,BAH,0.467,neutro,1.867,2.4,0.125,43.0,neutro,0.2
103347,Matheus Alexandre,REM,Lateral,6,5.52,-0.73,3.35,2,0.2,True,True,CRU,0.102,neutro,3.453,1.85,0.25,63.2,favoravel,1.09
123016,David Braga,REM,Meia,6,4.64,0.0,3.13,3,0.0,False,True,CRU,0.016,neutro,2.233,3.13,0.375,70.6,favoravel,1.18
148717,Tetê,SAO,Atacante,6,0.66,0.0,-0.53,3,-0.3,True,True,MIR,1.702,valor_oculto,0.361,0.0,0.375,56.8,neutro,0.15
130209,Renê,VIT,Atacante,6,5.54,0.02,2.62,4,2.9,True,False,CAP,-0.664,armadilha_leve,2.21,2.62,0.5,31.1,desfavoravel,0.69
97905,Matheus Aurélio,CHA,Goleiro,6,2.0,0.0,0.0,0,0.0,False,False,FLU,-0.407,neutro,0.0,0.0,0.0,29.6,desfavoravel,0.0
94034,Kevin Ramírez,CHA,Atacante,6,3.0,-0.19,0.85,2,0.5,True,False,FLU,-0.683,armadilha_leve,0.726,0.85,0.25,24.9,desfavoravel,0.09
101820,Mayk,REM,Lateral,7,6.69,-0.04,3.8,4,2.5,True,True,CRU,-0.391,neutro,3.586,3.05,0.5,63.2,neutro,2.27
109573,Martinelli,FLU,Meia,3,5.25,0.0,1.97,11,0.0,False,True,CHA,-0.651,armadilha_leve,1.939,1.52,1.0,72.5,neutro,2.81
130309,Rodrigo Falcão,SAN,Goleiro,6,1.0,0.0,0.0,0,0.0,False,False,BAH,0.689,valor_bom,0.0,0.0,0.0,43.7,neutro,0.0
121811,Da Silva,CHA,Meia,6,3.0,0.0,0.0,0,0.0,False,False,FLU,-1.396,armadilha_leve,0.0,0.0,0.0,24.2,desfavoravel,0.0
147089,Cauã Soares,CAM,Atacante,6,1.59,0.0,1.7,1,0.0,False,True,FLA,0.772,valor_bom,0.807,1.7,0.125,45.5,neutro,0.09
141405,Avellar,VAS,Lateral,6,1.49,0.0,1.5,1,0.0,False,False,COR,1.981,valor_oculto,1.767,1.5,0.125,67.9,neutro,0.3
149993,Iago Machado,COR,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,True,VAS,0.743,valor_bom,0.0,0.0,0.0,44.5,neutro,0.0
85465,Alex Santana,COR,Meia,6,4.0,0.0,0.0,0,0.0,False,True,VAS,-2.12,armadilha_forte,0.0,0.0,0.0,49.8,neutro,0.0
124264,Kauan Jesus,INT,Goleiro,6,1.0,0.0,0.0,0,0.0,False,False,BOT,0.689,valor_bom,0.0,0.0,0.0,36.3,neutro,0.0
88717,Celso Rodrigues,CHA,Técnico,6,7.71,0.31,4.14,2,3.99,True,False,FLU,-0.364,neutro,4.415,4.14,0.25,27.0,desfavoravel,0.6
149990,Franclim Carvalho,BOT,Técnico,7,13.9,1.07,6.82,2,8.58,True,True,INT,-0.993,armadilha_leve,6.497,6.82,0.25,42.8,neutro,1.39
107771,Fábio Matias,CHA,Técnico,7,7.98,0.32,3.05,2,3.99,True,False,FLU,-1.433,armadilha_leve,4.197,3.05,0.25,27.0,desfavoravel,0.57
149991,David,CFC,Atacante,6,1.0,0.0,0.0,0,0.0,False,False,GRE,0.733,valor_bom,0.0,0.0,0.0,47.5,neutro,0.0
130399,Igor Felisberto,SAO,Lateral,6,1.0,0.0,0.0,0,0.0,False,True,MIR,0.898,valor_bom,0.0,0.0,0.0,59.1,neutro,0.0
149994,Jhuan Nunes,RBB,Atacante,6,1.83,0.0,2.3,1,0.0,False,True,PAL,0.563,valor_bom,0.874,2.3,0.125,48.2,neutro,0.11
150197,Osorio,SAO,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,True,MIR,0.743,valor_bom,0.0,0.0,0.0,59.3,neutro,0.0
146701,Benjamin Arhin,INT,Meia,6,2.0,0.0,0.0,0,0.0,False,False,BOT,-0.461,neutro,0.0,0.0,0.0,64.5,neutro,0.0
