atleta_id,nome,clube_id,clube,posicao_id,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,scout_A,scout_DS,scout_FC,scout_FD,scout_FF,scout_FS,scout_FT,scout_SG,scout_V,scout_CA,scout_G,scout_I,scout_DE,scout_GS,scout_PC,scout_PP,scout_CV,scout_GC,scout_PS,scout_DP,mandante,adversario,prob_vitoria,prob_gols,tendencia,min_valorizar,pb_media,resiliencia_pct,confiabilidade,media_bayesiana,residuo_z,armadilha_label,custo_beneficio,cb_rank,status_label
111831,Matheus Martins,263,BOT,5,Atacante,7,7.2,0.0,4.88,14,0.0,False,0.0,10.0,7.0,9.0,5.0,13.0,1.0,0.0,,1.0,4.0,,,,,,,,,,False,CRU,0.0,,estavel,4.9,2.59,0.531,1.0,4.916,1.19,valor_bom,0.683,4,Provável
98672,Savarino,266,FLU,4,Meia,7,9.0,0.0,5.0,15,0.0,False,2.0,5.0,6.0,10.0,13.0,13.0,3.0,0.0,,2.0,3.0,6.0,,,,,,,,,False,GRE,0.0,,estavel,5.0,3.33,0.666,1.0,4.654,0.949,valor_bom,0.517,51,Provável
95799,Artur,276,SAO,5,Atacante,7,9.97,0.73,5.81,15,8.5,True,2.0,14.0,5.0,13.0,11.0,19.0,,0.0,,1.0,3.0,1.0,,,,,,,1.0,,False,FLA,0.0,,alta,8.5,3.54,0.609,1.0,5.521,0.88,valor_bom,0.554,37,Provável
70360,Eduardo Sasha,280,RBB,5,Atacante,2,4.14,0.0,1.06,14,0.0,False,0.0,5.0,1.0,6.0,4.0,11.0,,0.0,,,0.0,3.0,,,,2.0,,,,,True,CFC,0.0,,estavel,1.1,1.06,1.0,1.0,1.408,-0.899,armadilha_leve,0.34,102,Dúvida
142890,Montoro,263,BOT,4,Meia,7,7.1,0.0,2.73,14,0.0,False,3.0,7.0,11.0,3.0,5.0,17.0,1.0,0.0,,3.0,0.0,,,,,,,,,,False,CRU,0.0,,estavel,2.7,1.66,0.608,1.0,3.194,-0.059,neutro,0.45,86,Provável
78605,Gabriel,280,RBB,4,Meia,7,5.17,0.0,3.17,16,0.0,False,0.0,22.0,13.0,5.0,2.0,8.0,,0.0,,5.0,2.0,,,,1.0,,,,,,True,CFC,0.0,,estavel,3.2,2.54,0.801,1.0,2.782,0.287,neutro,0.538,36,Provável
39850,Vagner Mancini,280,RBB,6,Técnico,7,8.78,0.0,5.58,18,0.0,False,0.0,,,,,,,0.0,9.0,,0.0,,,,,,,,,,True,CFC,0.0,,estavel,5.6,5.58,1.0,1.0,5.391,0.425,neutro,0.614,4,Provável
94968,Juninho Capixaba,280,RBB,2,Lateral,7,13.92,0.0,7.52,16,0.0,False,2.0,31.0,32.0,3.0,10.0,22.0,2.0,6.0,,9.0,3.0,2.0,,,,,,,,,True,CFC,0.0,,estavel,7.5,4.64,0.617,1.0,6.736,0.656,valor_bom,0.484,56,Provável
103295,Eric Ramires,280,RBB,4,Meia,7,2.32,0.0,0.47,11,0.0,False,0.0,3.0,7.0,,1.0,4.0,,0.0,,1.0,0.0,,,,,,,,1.0,,True,CFC,0.0,,estavel,0.5,0.47,1.0,1.0,0.669,-0.239,neutro,0.288,139,Provável
100848,Luan Cândido,287,VIT,2,Lateral,7,6.49,0.0,4.45,9,0.0,False,2.0,7.0,7.0,2.0,3.0,4.0,,3.0,,1.0,0.0,2.0,,,,,,,1.0,,False,REM,0.0,,estavel,4.5,2.34,0.526,1.0,3.936,0.109,neutro,0.606,23,Provável
108133,Isidro Pitta,280,RBB,5,Atacante,2,6.22,0.0,4.2,17,0.0,False,2.0,2.0,19.0,6.0,22.0,10.0,,0.0,,2.0,5.0,8.0,,,,1.0,,,1.0,,True,CFC,0.0,,estavel,4.2,1.26,0.3,1.0,4.449,1.12,valor_bom,0.715,2,Dúvida
110750,Gustavo Marques,280,RBB,3,Zagueiro,7,6.8,0.0,4.33,16,0.0,False,0.0,20.0,12.0,4.0,6.0,11.0,,6.0,,2.0,0.0,1.0,,,,,,,,,True,CFC,0.0,,estavel,4.3,3.21,0.741,1.0,4.137,1.092,valor_bom,0.608,9,Provável
110715,Andrés Hurtado,280,RBB,2,Lateral,7,5.62,0.0,3.45,12,0.0,False,0.0,9.0,8.0,1.0,7.0,5.0,,3.0,,2.0,1.0,,,,,,,,,,True,CFC,0.0,,estavel,3.5,2.2,0.638,1.0,3.413,-0.011,neutro,0.607,21,Provável
111246,Alix Vinicius,280,RBB,3,Zagueiro,7,5.18,0.0,2.9,15,0.0,False,0.0,14.0,28.0,2.0,3.0,6.0,,6.0,,4.0,0.0,,,,,,1.0,,,,True,CFC,0.0,,estavel,2.9,1.7,0.586,1.0,2.776,0.283,neutro,0.536,23,Provável
100695,Fernando,280,RBB,5,Atacante,7,6.69,0.0,5.0,8,0.0,False,1.0,7.0,5.0,2.0,1.0,8.0,1.0,0.0,,,2.0,2.0,,,,,,,,,True,CFC,0.0,,estavel,5.0,2.38,0.476,1.0,4.989,1.469,valor_bom,0.746,1,Provável
112886,Lucas Barbosa,280,RBB,5,Atacante,7,10.4,0.0,6.67,16,0.0,False,2.0,22.0,32.0,12.0,20.0,31.0,,0.0,,4.0,4.0,6.0,,,,,,,,,True,CFC,0.0,,estavel,6.7,4.04,0.606,1.0,6.106,1.354,valor_bom,0.587,30,Provável
92087,Lyanco,282,CAM,3,Zagueiro,7,7.9,-1.6,3.32,8,0.0,True,0.0,10.0,10.0,,2.0,6.0,,3.0,,2.0,0.0,,,,,,1.0,,,,False,PAL,0.0,,baixa,3.3,2.19,0.66,1.0,3.535,0.081,neutro,0.447,44,Provável
