atleta_id,nome,clube_id,clube,posicao_id,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,scout_DE,scout_FS,scout_GS,scout_SG,scout_CA,scout_DS,scout_FC,scout_I,scout_FD,scout_FF,scout_FT,scout_PC,scout_A,scout_G,scout_PP,scout_PS,scout_CV,scout_V,scout_DP,scout_GC
83786,Neris,287,VIT,3,Zagueiro,6,3.08,0.0,1.5,1,0.0,,,,,,1.0,,,,,,,,,,,,,,
101597,Ramon,287,VIT,2,Lateral,7,8.8,0.61,7.1,4,7.9,,5.0,,2.0,1.0,7.0,8.0,,,1.0,,,,1.0,,,,,,
122485,Barros,267,VAS,4,Meia,3,11.94,2.23,9.32,6,13.4,,21.0,,,1.0,17.0,11.0,,,4.0,,,,3.0,,,1.0,,,
99440,Baralhas,287,VIT,4,Meia,7,10.85,1.88,7.93,4,12.5,,7.0,,,1.0,11.0,9.0,,,3.0,,,1.0,1.0,,,,,,
99213,Puma Rodríguez,267,VAS,2,Lateral,6,8.06,0.93,5.85,4,5.8,,1.0,,,1.0,1.0,1.0,1.0,2.0,3.0,,,2.0,1.0,,,,,,
90703,Matheuzinho,287,VIT,4,Meia,7,5.59,-0.5,2.5,4,1.8,,6.0,,,,2.0,,,2.0,2.0,,,,,,,,,,
115100,Matheus França,267,VAS,4,Meia,6,3.55,0.0,0.8,1,0.0,,,,,,,,,,1.0,,,,,,,,,,
101752,Claudinho,287,VIT,2,Lateral,5,4.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
96793,Camutanga,287,VIT,3,Zagueiro,7,7.6,0.73,5.1,3,5.0,,2.0,,2.0,,1.0,,,1.0,2.0,,,,,,,,,,
98384,Negueba,2305,MIR,5,Atacante,7,9.02,-0.37,7.15,4,4.8,,7.0,,,2.0,10.0,1.0,,1.0,4.0,,,,1.0,,,,,,
100969,Ronald Lopes,287,VIT,4,Meia,6,5.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
93411,Cantalapiedra,287,VIT,4,Meia,6,5.66,0.0,1.83,3,0.0,,3.0,,,,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,
97645,Thiago Couto,287,VIT,1,Goleiro,6,3.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
104330,Dudu,287,VIT,4,Meia,5,5.01,0.0,3.95,2,0.0,,1.0,,,,,2.0,,,,,,,1.0,,,,,,
104118,Lucas Arcanjo,287,VIT,1,Goleiro,7,9.13,1.57,9.7,2,8.9,8.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,1.0,
111879,Mateus Silva,287,VIT,2,Lateral,6,4.95,0.0,4.85,2,0.0,,3.0,,1.0,,2.0,2.0,,,1.0,,,,,,,,,,
109138,Kike Saverio,287,VIT,5,Atacante,6,5.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
102796,Julimar,293,CAP,5,Atacante,7,7.07,-0.83,6.38,4,1.5,,2.0,,,,4.0,1.0,,1.0,2.0,,,,2.0,,,,,,
116461,Jamerson,287,VIT,2,Lateral,6,4.98,0.0,3.25,2,0.0,,,,1.0,,1.0,,,,,,,,,,,,,,
